date,ticker,text,true_label,lexicon_score,classifier_score
2021-07-02,AAPL,Apple shares plunged after cut its full-year guidance,negative,-1.0,-0.8177907360612677
2021-07-02,AAPL,Analysts turn bullish on Apple after record profit margins,positive,1.0,0.8769602525829342
2021-07-07,AAPL,Apple shares plunged after cut its full-year guidance,negative,-1.0,-0.8177907360612677
2021-07-08,AAPL,Apple shares trade flat as it maintained its previous guidance,neutral,0.0,-0.001190966356437435
2021-07-08,AAPL,Apple shares climbed after raised its full-year guidance,positive,1.0,0.8184575805321708
2021-07-12,AAPL,Apple shares sank after announced layoffs amid cost cuts,negative,-1.0,-0.920221452594127
2021-07-12,AAPL,Apple shares fell after announced layoffs amid cost cuts,negative,-1.0,-0.9327537992508866
2021-07-13,AAPL,Apple drops as it announced layoffs amid cost cuts,negative,-1.0,-0.9497124129098697
2021-07-16,AAPL,Analysts turn cautious on Apple after soft quarterly earnings,negative,0.0,-0.8633732117550904
2021-07-20,AAPL,Analysts turn cautious on Apple after weak profit margins,negative,0.0,-0.8991465310551295
2021-07-20,AAPL,Apple to hold investor call on cash flow,neutral,0.0,-0.0018594071186126895
2021-07-21,AAPL,Apple shares fell after cut its full-year guidance,negative,-1.0,-0.8499355866983499
2021-07-21,AAPL,Apple drops as it warned of a demand slowdown,negative,-1.0,-0.9533158452008691
2021-07-22,AAPL,Apple drops as it warned of a demand slowdown,negative,-1.0,-0.9533158452008691
2021-07-23,AAPL,Apple stock surged on resilient quarterly earnings,positive,1.0,0.7685602374785703
2021-07-23,AAPL,"Apple cut its full-year guidance, shares slide",negative,-1.0,-0.9068839458164285
2021-07-26,AAPL,Apple shares surged after raised its full-year guidance,positive,1.0,0.8174855430914125
2021-07-26,AAPL,"Apple announced a share buyback program, shares climb",positive,1.0,0.9444069844023288
2021-07-29,AAPL,"Apple received an analyst upgrade, shares climb",positive,1.0,0.9194317067573101
2021-07-30,AAPL,Apple shares trade flat as it maintained its previous guidance,neutral,0.0,-0.001190966356437435
2021-07-30,AAPL,Apple shares rallied after received an analyst upgrade,positive,1.0,0.8485046382932053
2021-08-03,AAPL,Apple shares soared after unveiled a new product line to strong demand,positive,1.0,0.9195437623115332
2021-08-06,AAPL,Apple shares trade flat as it presented at an industry conference,neutral,0.0,-0.0016516250217270111
2021-08-10,AAPL,Apple stock climbed on strong guidance,positive,1.0,0.8469119677845527
2021-08-11,AAPL,Apple shares climbed after beat analyst earnings estimates,positive,1.0,0.8437077835193046
2021-08-12,AAPL,"Apple faces a regulatory investigation, shares slide",negative,-1.0,-0.9542716268290757
2021-08-17,AAPL,Apple rallies as it beat analyst earnings estimates,positive,1.0,0.8870673045993982
2021-08-19,AAPL,Apple drops as it faces a regulatory investigation,negative,-1.0,-0.9500416970082133
2021-09-01,AAPL,Apple stock tumbled on disappointing profit margins,negative,0.0,-0.8192331945076728
2021-09-03,AAPL,Apple stock advanced on robust sales,positive,1.0,0.8227767018193428
2021-09-03,AAPL,Apple shares slumped after announced layoffs amid cost cuts,negative,-1.0,-0.9196713366479907
2021-09-08,AAPL,"Apple raised its full-year guidance, shares climb",positive,1.0,0.8815839559108798
2021-09-09,AAPL,Apple stock surged on robust quarterly earnings,positive,1.0,0.8078974700867433
2021-09-16,AAPL,Apple stock plunged on disappointing cash flow,negative,-1.0,-0.7836451400417999
2021-09-16,AAPL,Apple stock sank on worse-than-expected quarterly earnings,negative,-1.0,-0.835372695292914
2021-09-17,AAPL,Apple rallies as it announced a share buyback program,positive,1.0,0.9430135782382483
2021-09-21,AAPL,Apple stock sank on soft quarterly earnings,negative,-1.0,-0.7436056016457783
2021-09-23,AAPL,Analysts turn cautious on Apple after worse-than-expected guidance,negative,0.0,-0.9018107547707248
2021-09-24,AAPL,Apple shares trade flat as it maintained its previous guidance,neutral,0.0,-0.001190966356437435
2021-09-28,AAPL,Apple rallies as it raised its full-year guidance,positive,1.0,0.9035130049845631
2021-09-29,AAPL,"Apple raised its full-year guidance, shares climb",positive,1.0,0.8815839559108798
